statename,rank,hs6,abbreviatn,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Alabama,24,854370,"ELEC MACH AND APP, HAVING INDIV FUNCTIONS, NE",194.06,176.22,173.63,160.82,1.0246,0.7923,0.793,0.7266,-7.38
Alabama,25,903289,"AUTO REGULATING INS & APPR EX THROSTAT,MNSTAT",131.97,109.01,149.32,154.79,0.6968,0.4901,0.6819,0.6994,3.66
Alaska,0,0,World,1480.64,2015.58,2493.68,2094.15,0.0653,0.0855,0.1109,0.0957,-16.02
Alaska,0,25,Top 25,854.6,1424.47,1460.81,1610.89,57.7183,70.6727,58.5804,76.9229,10.27
Alaska,1,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,526.08,691.82,702.94,462.68,35.5306,34.3236,28.1891,22.0939,-34.18
Alaska,2,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,1.9,21.93,34.52,237.04,0.1281,1.088,1.3844,11.3193,586.62
Alaska,3,851770,PTS OF PHONE SETS & OTH APP FOR THE TRANS/REC,0.82,4.33,8.57,170.4,0.0553,0.2149,0.3438,8.137,1887.77
Alaska,4,260300,COPPER ORES AND CONCENTRATES,66.24,87.8,74.14,145.18,4.4737,4.3563,2.973,6.9326,95.83
Alaska,5,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,92.59,96.61,83.01,109.48,6.2533,4.7932,3.3288,5.2281,31.9
Alaska,6,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",0.56,20.69,72.44,74.22,0.0376,1.0263,2.9049,3.5443,2.46
Alaska,7,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,0,310.15,33.26,69.03,0,15.3874,1.3339,3.2964,107.53
Alaska,8,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",107.92,93.83,63.62,58.61,7.2889,4.6553,2.5514,2.7986,-7.89
Alaska,9,852351,SOLID-STATE NON-VOL SEMICONDUCTOR STORAGE DEV,0.03,8.61,275.36,38.14,0.0021,0.4272,11.0422,1.8213,-86.15
Alaska,10,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",7.31,9.67,13,34.17,0.4936,0.4799,0.5215,1.6317,162.75
Alaska,11,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",1.21,3.91,5.16,31.03,0.0815,0.1938,0.207,1.4815,501.08
Alaska,12,854470,INSULATED OPTICAL FIBER CABLES WITH INDVULY S,0.06,0.13,0.08,27.11,0.0041,0.0062,0.0032,1.2946,34278.69
Alaska,13,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,1.42,1.35,12.89,20.16,0.0957,0.0669,0.5168,0.9626,56.42
Alaska,14,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,2.39,0.33,0.57,18.05,0.1615,0.0165,0.023,0.862,3051.39
Alaska,15,252329,PORTLAND CEMENT EXCEPT WHITE PORTLAND CEMENT,4.88,5.89,5.98,18.01,0.3298,0.292,0.2396,0.8601,201.42
Alaska,16,730429,"CASING AND TUBING,OIL,GAS DRILLING, IRON OR S",7.21,21.34,17.41,16.94,0.487,1.0587,0.6984,0.8088,-2.74
Alaska,17,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,0.18,3.28,18.92,12.42,0.0119,0.1628,0.7585,0.5931,-34.33
Alaska,18,841121,"TURBOPROPELLERS OF A POWER NOT EXCEEDING 1,10",8.71,11.51,3.23,11.17,0.5885,0.5712,0.1297,0.5335,245.48
Alaska,19,903040,"OTH INST, SPECIALLY DESIGNED FOR TELECOMMUNIC",0.09,0.09,0.16,9.76,0.0063,0.0042,0.0065,0.4663,5958.94
Alaska,20,283325,COPPER SULFATE,14.1,18.66,15.16,9.72,0.9526,0.9257,0.608,0.464,-35.92
Alaska,21,711311,"JEWELRY AND PARTS THEREOF, OF SILVER",0.46,0.47,0.58,8.72,0.0314,0.0234,0.0234,0.4165,1396.98
Alaska,22,854129,"TRANSISTORS, OTHER THAN PHOTOSENSITIVE, NESOI",0.82,1,1.8,8.01,0.055,0.0494,0.0721,0.3825,345.19
Alaska,23,290511,METHANOL (METHYL ALCOHOL),3.66,5.62,12.17,7.06,0.2471,0.2788,0.4881,0.337,-42.01
Alaska,24,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,5.67,5.43,5.79,7.03,0.3828,0.2692,0.232,0.3355,21.44
Alaska,25,853120,INDICATOR PANELS INCORPORATING LCD'S OR LED'S,0.29,0.03,0.03,6.74,0.0197,0.0015,0.0012,0.3217,21997.48
Arizona,0,0,World,19024,19743.57,19748.97,19654.49,0.8388,0.8379,0.8784,0.8984,-0.48
Arizona,0,25,Top 25,7531.84,7792.64,7198.28,7341.63,39.5912,39.4693,36.4489,37.3534,1.99
Arizona,1,70200,"TOMATOES, FRESH OR CHILLED",592.44,522.93,481.89,571.33,3.1142,2.6486,2.4401,2.9069,18.56
Arizona,2,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",283.2,839.54,928.95,559.96,1.4887,4.2522,4.7038,2.849,-39.72
Arizona,3,70960,"FRUITS OF GENUS CAPSICUM OR PIMENTA, FRESH/CH",439.09,461.78,363.92,472.63,2.3081,2.3389,1.8427,2.4047,29.87
Arizona,4,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,516.54,264.88,338.88,401.28,2.7152,1.3416,1.7159,2.0417,18.42
Arizona,5,854430,INSULATED WIRING SETS FOR VEHICLES SHIPS AIRC,346.2,400.1,418.69,352.23,1.8198,2.0265,2.1201,1.7921,-15.87
Arizona,6,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,283.91,216.12,239.65,346.04,1.4924,1.0947,1.2135,1.7606,44.39
Arizona,7,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000,256.62,290.43,276.35,336.71,1.3489,1.471,1.3993,1.7131,21.84
Arizona,8,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",377.37,255.2,325.45,319.16,1.9836,1.2926,1.6479,1.6238,-1.93
Arizona,9,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",833.33,898.14,360.44,315.35,4.3804,4.549,1.8251,1.6044,-12.51
Arizona,10,841191,TURBOJET AND TURBOPROLLER PARTS,300.29,342.73,410.32,309.82,1.5785,1.7359,2.0777,1.5763,-24.49
Arizona,11,848620,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC I,639.89,462.48,191.8,295.41,3.3636,2.3424,0.9712,1.503,54.02
Arizona,12,841199,GAS TURBINE PARTS NESOI,294.09,309.41,309.94,294.82,1.5459,1.5672,1.5694,1.5,-4.88
Arizona,13,853890,PT F ELECT APPR F ELECT CIRCT; F ELCT CONTRL,198.46,254.74,255.29,286.63,1.0432,1.2902,1.2927,1.4583,12.28
Arizona,14,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",297.95,221.25,267.23,277.74,1.5662,1.1206,1.3532,1.4131,3.93
Arizona,15,70993,"PUMPKINS, SQUASH AND GOURDS, FRESH OR CHILLED",244.38,246.23,224.14,267.59,1.2846,1.2472,1.1349,1.3615,19.39
Arizona,16,842890,"LIFTING, HANDLING, LOADING & UNLOADING MACHY",234.9,255.23,265.79,265.62,1.2347,1.2927,1.3459,1.3514,-0.07
Arizona,17,70700,"CUCUMBERS AND GHERKINS, FRESH OR CHILLED",259.18,270.65,239.23,233.15,1.3624,1.3708,1.2114,1.1862,-2.54
Arizona,18,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHO,359.35,312.78,278.79,221.98,1.8889,1.5842,1.4117,1.1294,-20.38
Arizona,19,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",174.02,180.57,200.82,204.65,0.9147,0.9146,1.0169,1.0413,1.91
Arizona,20,850440,STATIC CONVERTERS; ADP POWER SUPPLIES,139.67,160.91,206.79,193.14,0.7342,0.815,1.0471,0.9827,-6.6
Arizona,21,80711,"WATERMELONS, FRESH",194.57,186.84,196.06,186.77,1.0228,0.9463,0.9928,0.9503,-4.74
Arizona,22,630790,"MADE-UP TEXTILE ARTICLES, NESOI",120.4,180.99,202.35,164.39,0.6329,0.9167,1.0246,0.8364,-18.76
Arizona,23,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,107.65,138.52,102.47,163.56,0.5659,0.7016,0.5189,0.8322,59.61
Arizona,24,880390,PARTS OF NON-POWERED & POWERED AIRCRAFT ETC N,7.76,65.12,27.58,152.24,0.0408,0.3298,0.1396,0.7746,452.04
Arizona,25,850300,"PARTS OF ELECTRIC MOTORS, GENERATORS & SETS",30.55,55.07,85.44,149.43,0.1606,0.2789,0.4326,0.7603,74.9
Arkansas,0,0,World,7621.33,7609.69,7911.12,7828.87,0.336,0.3229,0.3519,0.3578,-1.04
Arkansas,0,25,Top 25,3153.44,3151.82,3127.84,3051.35,41.3765,41.4185,39.5372,38.9756,-2.45
Arkansas,1,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",856.2,579.25,691.7,686.5,11.2343,7.612,8.7434,8.7688,-0.75
Arkansas,2,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",960.1,1004.7,932.5,653.9,12.5975,13.2029,11.7872,8.3524,-29.88
Arkansas,3,950300,"TRICYCLE, SCOOTR, PEDAL CAR & SIM WHEELED TYS",244.14,274.58,262.32,389.19,3.2034,3.6083,3.3158,4.9713,48.37
Arkansas,4,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,46.25,108.22,98.68,91.2,0.6068,1.4221,1.2474,1.1649,-7.58
Arkansas,5,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,132.39,125.06,64.09,82.07,1.7371,1.6434,0.8101,1.0483,28.05
Arkansas,6,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NE",125.95,130.56,70.47,80.51,1.6526,1.7158,0.8907,1.0284,14.25
Arkansas,7,854430,INSULATED WIRING SETS FOR VEHICLES SHIPS AIRC,5.6,2.78,2.48,76.42,0.0735,0.0366,0.0314,0.9761,2979.57
Arkansas,8,940510,CHANDELIER CEILNG/WALL LGHTNG FTTNG EX PUBLIC,56.93,61.01,62.27,71.98,0.747,0.8017,0.7871,0.9195,15.6
Arkansas,9,854370,"ELEC MACH AND APP, HAVING INDIV FUNCTIONS, NE",13.4,18.81,44.39,66.25,0.1758,0.2472,0.5612,0.8462,49.22
Arkansas,10,846729,"TOOLS FOR WK IN  HAND,W/ SELF-CONT ELEC MOTOR",24.38,30.73,60.91,64.7,0.3199,0.4038,0.7699,0.8264,6.22
Arkansas,11,940520,ELECTRIC TABLE DESK BEDSIDE OR FLOOR-STANDING,40.65,47.39,58.66,61.35,0.5333,0.6228,0.7415,0.7836,4.58
Arkansas,12,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,142.93,141.15,104.79,60.15,1.8754,1.8549,1.3246,0.7683,-42.6
Arkansas,13,870120,ROAD TRACTORS FOR SEMI-TRAILERS,62.38,120.46,178.13,58.66,0.8185,1.5829,2.2517,0.7493,-67.07
Arkansas,14,630260,TOILET & KITCHEN LINEN OF COTTON TERRY FABRIC,49.11,46.38,52.2,55.71,0.6444,0.6095,0.6599,0.7117,6.73
Arkansas,15,846722,"SAWS W/ SELF-CONT. ELECTIRIC MOTORS, FOR WK I",31.07,55.69,67.12,55.7,0.4077,0.7319,0.8484,0.7115,-17.02
Arkansas,16,854442,"ELEC CONDUCTORS, LT=1000 V, W/ CONNECTORS, NE",14.73,27.05,25.81,55.44,0.1932,0.3554,0.3263,0.7081,114.77
Arkansas,17,950510,ART F CHRISTMAS FESTIVITIES AND PTS & ACCESSO,36.45,35.11,35.63,54.21,0.4782,0.4614,0.4504,0.6925,52.15
Arkansas,18,630790,"MADE-UP TEXTILE ARTICLES, NESOI",29.99,24.35,27.29,53.62,0.3935,0.32,0.345,0.685,96.47
Arkansas,19,940360,"WOODEN FURNITURE, NESOI",50.94,53.12,56.92,48.51,0.6684,0.6981,0.7195,0.6196,-14.78
Arkansas,20,847989,MACH & MECHANICAL APPL W INDIVIDUAL FUNCTION,28.87,38.09,47.73,48.43,0.3788,0.5006,0.6033,0.6186,1.48
Arkansas,21,940540,"ELECTRIC LAMPS AND LIGHTING FITTINGS, NESOI",23.39,31.16,21.42,48.39,0.3069,0.4094,0.2707,0.618,125.91
Arkansas,22,930200,"REVOLVERS & PISTOLS, DESIGNED TO FIRE LIVE AM",49.54,36.75,31.63,47.64,0.6501,0.483,0.3998,0.6085,50.61
Arkansas,23,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,62.54,70.76,54.73,47.59,0.8206,0.9299,0.6919,0.6078,-13.06
Arkansas,24,840790,"SPARK-IGNTN RCPRCTNG/ROTARY INT COMBSTN ENG,",37.06,56.47,38.45,47.09,0.4863,0.742,0.486,0.6015,22.48
Arkansas,25,392490,HOUSEHOLD AND TOILET ARTICLES NESOI OF PLASTI,28.45,32.18,37.5,46.14,0.3732,0.4229,0.474,0.5894,23.04
California,0,0,World,381068.95,403808.04,408247.06,410182.75,16.8021,17.137,18.159,18.7486,0.47
California,0,25,Top 25,178802.21,189501.39,191466.49,193068.51,46.9212,46.9286,46.8997,47.0689,0.84
California,1,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,31779.93,34024.5,38976.92,44068.92,8.3397,8.4259,9.5474,10.7437,13.06
California,2,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,18618.09,17082.31,15915.95,17405.5,4.8858,4.2303,3.8986,4.2434,9.36
California,3,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,8989.68,12022.54,14608.14,16062.42,2.3591,2.9773,3.5783,3.9159,9.96
California,4,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,15085.75,15788.62,16170.84,14845.67,3.9588,3.9099,3.961,3.6193,-8.19
California,5,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,29515.52,29206.98,16150.33,12445.48,7.7455,7.2329,3.956,3.0341,-22.94
California,6,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,11512.3,12589.39,14856.97,11997.23,3.0211,3.1177,3.6392,2.9248,-19.25
California,7,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",5792.35,8491.81,10999.35,9996.35,1.52,2.1029,2.6943,2.437,-9.12
California,8,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,7218.27,8538.38,8440.44,7053.18,1.8942,2.1145,2.0675,1.7195,-16.44
California,9,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,2770.29,3189.43,4275.06,5246.45,0.727,0.7898,1.0472,1.2791,22.72
California,10,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NE",6811.35,6967.6,7125.4,4921.85,1.7874,1.7255,1.7454,1.1999,-30.93
California,11,870322,"PASS MTR VEH,SPARK IGN ENG, >1000CC BUT =<150",2295.42,2816.42,3425.87,4855.53,0.6024,0.6975,0.8392,1.1837,41.73
California,12,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",6171.18,6068.2,5826.41,4846.28,1.6194,1.5027,1.4272,1.1815,-16.82
California,13,950300,"TRICYCLE, SCOOTR, PEDAL CAR & SIM WHEELED TYS",3645.02,3939.91,4355.66,4609.55,0.9565,0.9757,1.0669,1.1238,5.83
California,14,852351,SOLID-STATE NON-VOL SEMICONDUCTOR STORAGE DEV,1903.46,2939.92,3557.15,3993.61,0.4995,0.728,0.8713,0.9736,12.27
California,15,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",2632.83,2819.38,3945.01,3898.15,0.6909,0.6982,0.9663,0.9503,-1.19
California,16,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",1612.12,1288.96,1956.47,3491.55,0.4231,0.3192,0.4792,0.8512,78.46
California,17,844399,"PTS & ACC OF PRINTERS, COPIERS AND FAX MACH,",4105.69,3529.29,3350.66,3427.22,1.0774,0.874,0.8207,0.8355,2.28
California,18,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,5156.28,4141.48,2088.63,3306.42,1.3531,1.0256,0.5116,0.8061,58.31
California,19,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",2058.63,2728.55,3033.7,3105.86,0.5402,0.6757,0.7431,0.7572,2.38
California,20,870431,"MTR VEH TRANS GDS SPK IG IN C P ENG, GVW NOV",1644.1,2004.06,2351.72,2864.16,0.4314,0.4963,0.5761,0.6983,21.79
California,21,844331,"MACH WHICH PERFORM 2-PLUS OF PRINT, COPY, FAX",2927.1,2689.05,2602.07,2401.78,0.7681,0.6659,0.6374,0.5855,-7.7
California,22,850440,STATIC CONVERTERS; ADP POWER SUPPLIES,2040.07,2343.47,2368.79,2254.51,0.5354,0.5803,0.5802,0.5496,-4.82
California,23,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",1674.93,1673.79,1921.74,2074.42,0.4395,0.4145,0.4707,0.5057,7.94
California,24,852859,"MONITORS, NOT INCORP TELEVISION RECEP APP, NE",1023.06,1072.09,1249.09,2030.1,0.2685,0.2655,0.306,0.4949,62.53
California,25,852580,"TELEVISION CAMERA, DIGITL CAMRA & VID CAM REC",1818.82,1545.26,1914.11,1866.32,0.4773,0.3827,0.4689,0.455,-2.5
Colorado,0,0,World,12820.8,14260.39,13509.1,12225.47,0.5653,0.6052,0.6009,0.5588,-9.5
Colorado,0,25,Top 25,5981.04,6344.77,5373.77,5211.32,46.651,44.4923,39.7789,42.6268,-3.02
Colorado,1,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,2711.62,2784.95,1765.13,1329.23,21.1501,19.5293,13.0663,10.8726,-24.7
Colorado,2,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",393.98,610.78,584.61,404.85,3.073,4.2831,4.3276,3.3115,-30.75
Colorado,3,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",298.24,398.22,441.98,368.44,2.3262,2.7925,3.2718,3.0137,-16.64
Colorado,4,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",75.46,43.95,36.03,350.62,0.5886,0.3082,0.2667,2.8679,873.14
Colorado,5,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",264.52,268.15,336.09,270.41,2.0632,1.8804,2.4879,2.2119,-19.54
Colorado,6,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",170.79,194.56,250.51,215.14,1.3321,1.3644,1.8544,1.7598,-14.12
Colorado,7,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",310.15,297.74,254.56,208.48,2.4191,2.0879,1.8844,1.7053,-18.1
Colorado,8,392690,"ARTICLES OF PLASTICS, NESOI",44.42,50.36,53.74,167.53,0.3464,0.3531,0.3978,1.3703,211.73
Colorado,9,902140,HEARING AIDS,179.8,112.09,68.45,165.69,1.4024,0.786,0.5067,1.3552,142.05
Colorado,10,841290,"ENGINE AND MOTOR PARTS, NESOI",30.25,88.12,155.13,165.41,0.2359,0.618,1.1484,1.353,6.62
Colorado,11,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",68.43,81.09,72.43,155.44,0.5338,0.5687,0.5361,1.2715,114.63
Colorado,12,902110,"ORTHOPEDIC OR FRACTRE APPLIANCES, PARTS & ACC",115.57,121.79,130.62,142.33,0.9014,0.8541,0.9669,1.1642,8.97
Colorado,13,852550,TRANSMISSION APP FOR RADIO-BROADCAST OR TELEV,102.46,125.67,100.88,139.16,0.7992,0.8813,0.7468,1.1383,37.95
Colorado,14,850440,STATIC CONVERTERS; ADP POWER SUPPLIES,100.6,122.66,151.3,118.96,0.7847,0.8601,1.12,0.9731,-21.37
Colorado,15,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,73.23,69.78,119.38,115.12,0.5712,0.4893,0.8837,0.9416,-3.57
Colorado,16,902190,OTH ARTIFICAL PTS OF THE BODY & PTS & ACCESSO,35.95,102.59,164.35,109.01,0.2804,0.7194,1.2166,0.8917,-33.67
Colorado,17,440710,"CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM T",53.34,67.71,66.48,107.1,0.416,0.4748,0.4921,0.876,61.08
Colorado,18,481019,"PPR/PBRD,WRIT/PRINT, CLAY CTD, <10%MECH FBS,",117.5,122.06,134.9,103.57,0.9165,0.8559,0.9986,0.8471,-23.23
Colorado,19,300410,"PENICILLINS OR STREPTOMYCINS & DERV, DOSAGE F",95.27,97.29,87.5,96.58,0.7431,0.6822,0.6477,0.79,10.37
Colorado,20,852871,RECEPTION APP FOR TV NT DESIGNED TO INC VIDEO,272.2,217.83,110.88,87.36,2.1231,1.5275,0.8208,0.7146,-21.21
Colorado,21,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,184.2,128.62,84.87,86.52,1.4367,0.9019,0.6283,0.7077,1.94
Colorado,22,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,92.46,89.7,64.68,82.28,0.7211,0.629,0.4788,0.673,27.21
Colorado,23,940161,"SEATS W WOODEN FRAMES, UPHOLSTERED, NESOI",86.1,61.64,67.64,74.62,0.6716,0.4322,0.5007,0.6104,10.32
Colorado,24,441012,"ORIENTED STRAND BOARD (OSB), OF WOOD",83.21,70.5,58.87,74.16,0.649,0.4943,0.4358,0.6066,25.98
Colorado,25,850710,LEAD-ACID BATTERIES OF A KIND USED FOR STG EN,21.28,16.92,12.75,73.31,0.166,0.1187,0.0944,0.5997,475.11
Connecticut,0,0,World,21563.73,23918.78,25967.88,21319.13,0.9508,1.0151,1.1551,0.9745,-17.9
Connecticut,0,25,Top 25,8941.17,10183.17,12604.87,8855.09,41.4639,42.574,48.5402,41.5359,-29.75
Connecticut,1,841191,TURBOJET AND TURBOPROLLER PARTS,2095.63,2368,2153.52,1559.24,9.7183,9.9002,8.293,7.3138,-27.6
Connecticut,2,293499,NUCLEIC ACIDS & SALTS; OTHER HETEROCYCLIC CMP,11.24,312.15,3379.76,1341.86,0.0521,1.305,13.0152,6.2941,-60.3
Connecticut,3,710691,"SILVER, UNWROUGHT NESOI",0.02,1055.96,976.71,1023.22,0.0001,4.4148,3.7612,4.7995,4.76
Connecticut,4,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",140.61,179.88,594.22,676.71,0.6521,0.7521,2.2883,3.1742,13.88
Connecticut,5,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",830.7,542.83,562.33,495.47,3.8523,2.2695,2.1655,2.3241,-11.89
Connecticut,6,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",1179.77,967.06,517.65,402.45,5.4711,4.0431,1.9934,1.8878,-22.25
Connecticut,7,760110,"UNWROUGHT ALUMINUM, NOT ALLOYED",125.45,394.72,191.13,393.56,0.5818,1.6503,0.736,1.8461,105.91
Connecticut,8,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",469.58,474.94,331.23,299.17,2.1777,1.9856,1.2755,1.4033,-9.68
Connecticut,9,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHO,1441.63,499.35,706.77,280.74,6.6854,2.0877,2.7217,1.3168,-60.28
Connecticut,10,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",1070.92,1368.44,1263.24,270.8,4.9663,5.7212,4.8646,1.2702,-78.56
