statename,rank,hs6,abbreviatn,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Alabama,25,940190,"PARTS OF SEATS (EX MEDICAL, BARBER, DENTAL ET",13.77,22.09,92.15,112.13,0.0713,0.1135,0.4768,0.549,21.68
Alaska,0,0,World,4527.82,5111.16,4619.7,4347.5,0.2868,0.3151,0.3073,0.2996,-5.89
Alaska,0,25,Top 25,4252.99,4534.47,4201.57,4114.39,93.9302,88.7169,90.9489,94.6381,-2.07
Alaska,1,260800,ZINC ORES AND CONCENTRATES,813.8,1067.97,887.19,846.4,17.9732,20.8948,19.2046,19.4687,-4.6
Alaska,2,30499,"FISH MEAT, FROZEN, NESOI",341.21,347.22,374.36,398.55,7.5359,6.7934,8.1036,9.1674,6.46
Alaska,3,260700,LEAD ORES AND CONCENTRATES,389.33,367.49,327.5,382.91,8.5986,7.1899,7.0892,8.8077,16.92
Alaska,4,30475,"ALASKA POLLOCK FILLETS, FROZEN",283.59,319.01,298.85,294.62,6.2632,6.2413,6.469,6.7767,-1.42
Alaska,5,30389,"FISH, FROZEN, NESOI",251.23,269.84,246.01,254.99,5.5486,5.2794,5.3251,5.8653,3.65
Alaska,6,30363,"COD, FROZEN",231.44,252.61,267.49,251.15,5.1115,4.9422,5.7902,5.777,-6.11
Alaska,7,30390,"FISH LIVERS AND ROES, FROZEN",245.68,224.69,255.61,177.32,5.426,4.396,5.533,4.0786,-30.63
Alaska,8,30311,"SOCKEYE SALMON, FROZEN",60.57,93.85,134.94,162.28,1.3377,1.8362,2.9209,3.7326,20.26
Alaska,9,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,285.03,176.15,162.51,149.78,6.2952,3.4463,3.5177,3.4451,-7.83
Alaska,10,30339,"FLAT FISH NESOI EXCEPT FILLETS, LIVERS,  ROES",161.41,163.67,139.07,148.5,3.5648,3.2023,3.0103,3.4158,6.78
Alaska,11,261690,"PRECIOUS METAL ORES & CONCENTRATES, EXCEPT SI",140.29,139.94,154.12,148,3.0984,2.7378,3.3362,3.4043,-3.97
Alaska,12,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,50.44,73.9,58.18,146.75,1.1141,1.4458,1.2595,3.3754,152.21
Alaska,13,260300,COPPER ORES AND CONCENTRATES,150.2,186.47,98.97,145.74,3.3174,3.6483,2.1424,3.3523,47.25
Alaska,14,30312,"PACIFIC SALMON, FROZEN, NESOI",257.67,208.27,281.52,137.95,5.6909,4.0747,6.094,3.1731,-51
Alaska,15,230120,FLOUR MEAL & PELLET OF FISH CRUSTACEANS ETC I,77.18,100.46,100.3,96.44,1.7046,1.9656,2.1712,2.2184,-3.85
Alaska,16,440320,"CONIFEROUS WOOD IN THE ROUGH, NOT TREATED",162.55,122.53,89.92,92.84,3.5901,2.3973,1.9465,2.1355,3.25
Alaska,17,30367,"ALASKA POLLOCK, FROZEN",111.68,131.54,98.67,89.53,2.4666,2.5735,2.1359,2.0593,-9.27
Alaska,18,30614,"CRABS, INCLUDING IN SHELL, FROZEN",99.25,97.34,101.53,65.92,2.1921,1.9045,2.1978,1.5163,-35.07
Alaska,19,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",46.16,103.81,46.81,28.28,1.0194,2.0311,1.0132,0.6504,-39.59
Alaska,20,30351,"HERRINGS, FROZEN",45.17,38.39,24.43,22.61,0.9977,0.7512,0.5288,0.52,-7.47
Alaska,21,30213,"PACIFIC SALMON, FRESH OR CHILLED",21.15,19.09,17.07,17.94,0.4672,0.3735,0.3694,0.4126,5.1
Alaska,22,30481,"PACIFIC, ATLANTIC AND DANUBE SALMON FILLETS F",3.13,6.66,10.1,16.97,0.0691,0.1304,0.2186,0.3904,68.11
Alaska,23,30221,"HALIBUT/GREENLAND TURBOT EX FILLET, LVR, ROE",18.25,11.68,14.48,14.82,0.4031,0.2286,0.3135,0.3409,2.32
Alaska,24,711299,WASTE AND SCRAP OF PRECIOUS METAL NESOI,0,0.07,0.12,12.4,0,0.0014,0.0025,0.2853,10461.38
Alaska,25,150420,"FISH FATS & OILS (NOT LIVER), FRACT, NOT MODI",6.56,11.83,11.81,11.69,0.1448,0.2314,0.2557,0.2689,-1.04
Arizona,0,0,World,19478.29,21247.28,22655.35,22016.24,1.234,1.31,1.5072,1.5173,-2.82
Arizona,0,25,Top 25,9189.97,10330.71,11577.34,11345.89,47.1806,48.6213,51.102,51.5342,-2
Arizona,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2774.14,2225.74,2967.9,2256.81,14.2422,10.4754,13.1002,10.2507,-23.96
Arizona,2,260300,COPPER ORES AND CONCENTRATES,1547.69,2177.73,2502.45,1725.58,7.9457,10.2494,11.0457,7.8377,-31.04
Arizona,3,880212,HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 20,5.28,141.47,66.36,1009.11,0.0271,0.6658,0.2929,4.5835,1420.69
Arizona,4,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",1152.09,878.44,1051.37,826.05,5.9147,4.1344,4.6407,3.752,-21.43
Arizona,5,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",646.31,749.12,693.54,814.02,3.3181,3.5257,3.0613,3.6974,17.37
Arizona,6,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,414.6,412.71,354.25,559.64,2.1285,1.9424,1.5637,2.5419,57.98
Arizona,7,853890,PT F ELECT APPR F ELECT CIRCT; F ELCT CONTRL,345.13,401.5,404.9,428.4,1.7719,1.8897,1.7872,1.9458,5.8
Arizona,8,854150,SEMICNDCTR DVICE EX PHOTOSENSITIVE/PHOTOVOLTA,44.77,345.37,427.62,428.02,0.2298,1.6255,1.8875,1.9441,0.09
Arizona,9,271121,"NATURAL GAS, GASEOUS",540.04,629.1,373.16,391.37,2.7725,2.9608,1.6471,1.7776,4.88
Arizona,10,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,228.47,270.61,331.72,381.09,1.1729,1.2736,1.4642,1.7309,14.88
Arizona,11,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000,189.81,192.52,208.95,235.11,0.9745,0.9061,0.9223,1.0679,12.52
Arizona,12,902139,ARTIFICIAL JOINTS & PARTS & ACCESSORIES THERO,185.32,232.79,204.79,222.31,0.9514,1.0956,0.9039,1.0097,8.56
Arizona,13,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,106.82,197.36,192.74,216.62,0.5484,0.9289,0.8507,0.9839,12.39
Arizona,14,841111,TURBOJETS OF A THRUST NOT EXCEEDING 25 KN,19.11,171.87,258.5,197.83,0.0981,0.8089,1.141,0.8986,-23.47
Arizona,15,902190,OTH ARTIFICAL PTS OF THE BODY & PTS & ACCESSO,19.84,29.64,78.99,173.13,0.1019,0.1395,0.3486,0.7864,119.2
Arizona,16,853690,ELECT APPR F PRTCT TO ELECT CIRCT NOV 1000 V,131.96,135.11,157.73,168.91,0.6775,0.6359,0.6962,0.7672,7.09
Arizona,17,853400,PRINTED CIRCUITS,61.95,71.3,80.36,161.34,0.3181,0.3356,0.3547,0.7328,100.78
Arizona,18,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,89.21,111.13,124.46,160.44,0.458,0.523,0.5494,0.7287,28.91
Arizona,19,392690,"ARTICLES OF PLASTICS, NESOI",146.88,178.51,175.04,158.17,0.7541,0.8401,0.7726,0.7184,-9.64
Arizona,20,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",112.81,214.79,256.71,156.32,0.5792,1.0109,1.1331,0.71,-39.1
Arizona,21,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",10.09,79.17,139.75,147.7,0.0518,0.3726,0.6168,0.6709,5.69
Arizona,22,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",151.25,154.98,140.84,140.75,0.7765,0.7294,0.6216,0.6393,-0.06
Arizona,23,903289,"AUTO REGULATING INS & APPR EX THROSTAT,MNSTAT",75.2,105.48,138.85,138.31,0.3861,0.4964,0.6129,0.6282,-0.39
Arizona,24,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",102.17,85.24,122.95,127.72,0.5246,0.4012,0.5427,0.5801,3.88
Arizona,25,210690,FOOD PREPARATIONS NESOI,89.02,139.04,123.42,121.14,0.457,0.6544,0.5448,0.5502,-1.85
Arkansas,0,0,World,7160.84,6866.25,5869.47,5707.47,0.4536,0.4234,0.3905,0.3933,-2.76
Arkansas,0,25,Top 25,3871.39,3615.77,2957.84,3203.06,54.0634,52.6601,50.3938,56.1204,8.29
Arkansas,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",1843.92,1628.12,791.25,1082.82,25.7501,23.712,13.4808,18.972,36.85
Arkansas,2,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000,99.87,229.49,428.7,185.6,1.3947,3.3423,7.3038,3.2519,-56.71
Arkansas,3,40711,"EGGS OF CHICKENS, FERTILIZED FOR INCUBATION",83.93,100.99,136.31,174.27,1.1721,1.4708,2.3224,3.0533,27.84
Arkansas,4,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,120.42,75.49,97.88,168.69,1.6816,1.0994,1.6676,2.9555,72.34
Arkansas,5,481151,"PPR/PBRD,CTD/IMPG/CVR W/PLAST,BLEACH,WT>150G/",145.59,173.91,179.51,161.54,2.0332,2.5329,3.0584,2.8303,-10.01
Arkansas,6,100630,"RICE, SEMI- OR WHOLLY MILLED, POLISHED ETC OR",173.76,179.85,165.15,152.35,2.4266,2.6193,2.8137,2.6693,-7.75
Arkansas,7,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F",242.95,212.79,120.55,149.9,3.3928,3.099,2.0538,2.6264,24.35
Arkansas,8,390390,"POLYMERS OF STYRENE NESOI, IN PRIMARY FORMS",57.37,80.74,80.8,113.07,0.8012,1.1759,1.3766,1.9811,39.94
Arkansas,9,293090,ORGANO-SULFUR COMPOUNDS NESOI,125.97,115.45,134.53,110.2,1.7592,1.6814,2.2921,1.9308,-18.09
Arkansas,10,290399,"HALOGENATED DERIV OF AROMATIC HYDROCARBONS, N",74.35,78.08,71.62,89.7,1.0383,1.1371,1.2203,1.5716,25.24
Arkansas,11,100610,RICE IN THE HUSK (PADDY OR ROUGH),62.28,27.74,56.95,67.85,0.8697,0.404,0.9703,1.1887,19.13
Arkansas,12,210690,FOOD PREPARATIONS NESOI,18.2,53.78,48.73,66.49,0.2542,0.7832,0.8302,1.1649,36.45
Arkansas,13,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,99.37,111.18,79.69,59.79,1.3877,1.6192,1.3578,1.0476,-24.98
Arkansas,14,20713,CHICKEN CUTS & EDIBLE OFFAL (INCL LIVER) FRSH,66.33,55.27,54.63,59.72,0.9262,0.8049,0.9307,1.0464,9.33
Arkansas,15,850152,"AC MOTORS,MULTI-PHASE;OUTPUT > 750W NOT OVER",77.39,69.68,74.77,59.67,1.0808,1.0148,1.2739,1.0455,-20.19
Arkansas,16,290819,"DERIV. CONT. ONLY HALOGEN SUBSTIT. & SALTS, N",46.09,47.37,41.46,59.52,0.6436,0.6899,0.7064,1.0429,43.55
Arkansas,17,400821,"PLATES OF VULCANIZED RUB, OF NONCELLULAR RUBB",45.68,52.08,49.33,57.07,0.638,0.7585,0.8405,1,15.7
Arkansas,18,100199,"WHEAT AND MESLIN, NESOI",19.98,23.75,37.01,56.08,0.279,0.3459,0.6306,0.9826,51.52
Arkansas,19,520100,"COTTON, NOT CARDED OR COMBED",156.03,66.8,79.16,54.21,2.179,0.9729,1.3486,0.9498,-31.51
Arkansas,20,340111,"SOAP & OTH ORGANIC SURF ACT PROD, TOILET USE,",37.46,32.78,47.13,49.24,0.5232,0.4774,0.803,0.8627,4.46
Arkansas,21,841582,AIR CONDITIONING MACH ETC INCORP REFRIG UNIT,44.76,47.46,49.22,47.67,0.625,0.6912,0.8385,0.8353,-3.14
Arkansas,22,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,66.3,62.6,53.66,47.53,0.9259,0.9118,0.9142,0.8328,-11.42
Arkansas,23,721633,"H SECTIONS IRN/NAS, HOT-WRKD, 80MM HI OR MORE",110.03,70.51,46.46,44.62,1.5365,1.0269,0.7916,0.7817,-3.97
Arkansas,24,860691,"RAILWAY OR TRMWY CARS, COVERED, CLOSED NESOI",0,0,0,42.98,0,0,0,0.7531,0
Arkansas,25,871639,TRAILERS & SEMI-TRAILER F TRANS CDS NESOI,53.34,19.88,33.33,42.48,0.7449,0.2895,0.5678,0.7442,27.46
California,0,0,World,168191.55,173868.59,165379.58,163512.85,10.655,10.7202,11.0026,11.2689,-1.13
California,0,25,Top 25,54400.57,58554.1,57043.15,59910.27,32.3444,33.6772,34.4923,36.6395,5.03
California,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",7508.29,7504.3,6785.55,7346.83,4.4641,4.3161,4.103,4.4931,8.27
California,2,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,4755.63,5307.68,6289.05,6969.49,2.8275,3.0527,3.8028,4.2624,10.82
California,3,710239,"DIAMONDS, NONINDUSTRIAL, WORKED",5580.71,5367.18,4582.34,5514.5,3.3181,3.0869,2.7708,3.3725,20.34
California,4,848620,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC I,2232.3,2670.53,3260.71,3322.07,1.3272,1.5359,1.9716,2.0317,1.88
California,5,80212,"ALMONDS, FRESH OR DRIED, SHELLED",3165.69,3504.76,3730.26,3213.98,1.8822,2.0158,2.2556,1.9656,-13.84
California,6,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,2275.48,2267.58,2502.79,2578.16,1.3529,1.3042,1.5134,1.5767,3.01
California,7,300210,"ANTISERA, BLOOD FRACTIONS & IMMUNOLOGICAL PRO",2466.54,3190.74,2775.67,2564.1,1.4665,1.8351,1.6784,1.5681,-7.62
California,8,880260,SPACECRAFT & SUBORBITAL AND SPACE LAUNCH VEHI,734.01,559.91,2037.77,2410.31,0.4364,0.322,1.2322,1.4741,18.28
California,9,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",1949.39,1929.02,1982.44,2132.02,1.159,1.1095,1.1987,1.3039,7.55
California,10,870390,"PASSENGER MOTOR VEHICLES, NESOI",600.06,1353.96,1277.32,2037.77,0.3568,0.7787,0.7724,1.2462,59.53
California,11,382200,"COMPOSITE DIAGNOSTIC/LAB REAGENTS, EXC PHARMA",1559.92,1620.22,1702.73,1980.56,0.9275,0.9319,1.0296,1.2113,16.32
California,12,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",2142.42,2115.68,1995.43,1930.29,1.2738,1.2168,1.2066,1.1805,-3.26
California,13,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,2142.54,2137.84,2096.54,1924.37,1.2739,1.2296,1.2677,1.1769,-8.21
California,14,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,1775.83,2286.6,1805.86,1851.59,1.0558,1.3151,1.092,1.1324,2.53
California,15,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,1155.59,1852.17,1490.42,1632.32,0.6871,1.0653,0.9012,0.9983,9.52
California,16,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,4051.54,4787.68,2980.17,1613.65,2.4089,2.7536,1.802,0.9869,-45.85
California,17,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",1095.12,1007.45,1304.8,1509.09,0.6511,0.5794,0.789,0.9229,15.66
California,18,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",1602.74,1581.49,1451.95,1309.46,0.9529,0.9096,0.878,0.8008,-9.81
California,19,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,1994.98,1903.04,1583.17,1266.64,1.1861,1.0945,0.9573,0.7746,-19.99
California,20,760421,ALUMINUM ALLOY HOLLOW PROFILES,14.26,11.95,34.09,1217.48,0.0085,0.0069,0.0206,0.7446,3471.3
California,21,220421,"WINE, FR GRAPE NESOI & GR MUST W ALC, NOV 2 L",1129.99,1061.82,1149.64,1158.29,0.6718,0.6107,0.6952,0.7084,0.75
California,22,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",1260.39,1332.43,1205.8,1144.27,0.7494,0.7663,0.7291,0.6998,-5.1
California,23,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",1245.48,1257.99,1039.01,1138.75,0.7405,0.7235,0.6283,0.6964,9.6
California,24,210690,FOOD PREPARATIONS NESOI,1077.23,1066.19,1019.28,1105.12,0.6405,0.6132,0.6163,0.6759,8.42
California,25,80211,"ALMONDS, FRESH OR DRIED, IN SHELL",884.45,875.88,960.36,1039.16,0.5259,0.5038,0.5807,0.6355,8.21
Colorado,0,0,World,8545.01,8363.71,7950.33,7580.28,0.5413,0.5157,0.5289,0.5224,-4.65
Colorado,0,25,Top 25,3217.07,3290.51,3055.24,3256.33,37.6485,39.3428,38.429,42.9579,6.58
Colorado,1,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",251.26,304.9,373.42,389.84,2.9404,3.6455,4.6969,5.1428,4.4
Colorado,2,20130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CH",382.08,439.34,345.95,387.67,4.4714,5.253,4.3513,5.1142,12.06
Colorado,3,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",312.31,343,289.7,305.23,3.6549,4.101,3.6439,4.0267,5.36
Colorado,4,20230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",204.56,239.43,217,200.21,2.3939,2.8628,2.7295,2.6412,-7.74
Colorado,5,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",276.07,251.23,170.89,186.1,3.2307,3.0038,2.1494,2.4551,8.9
Colorado,6,902110,"ORTHOPEDIC OR FRACTRE APPLIANCES, PARTS & ACC",247.13,136.27,135.82,163.11,2.8921,1.6293,1.7084,2.1517,20.09
Colorado,7,410150,"WHOLE HIDES & SKINS, OF A WT >16KG BOVINE/EQU",143.63,200.28,170.81,160.53,1.6809,2.3947,2.1484,2.1178,-6.02
Colorado,8,370110,"X-RAY PLATES & FLAT FILM, SENS, UNEX",70.63,129.34,157.58,129.52,0.8266,1.5465,1.982,1.7086,-17.81
Colorado,9,20319,"MEAT OF SWINE, NESOI, FRESH OR CHILLED",85.04,64.29,54.77,129.12,0.9952,0.7687,0.6889,1.7034,135.76
Colorado,10,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",141.53,135.34,100.96,111.25,1.6563,1.6182,1.2699,1.4676,10.2
Colorado,11,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",85.61,79.54,57.05,88.42,1.0019,0.9511,0.7176,1.1664,54.97
Colorado,12,902750,INSTRUMENTS ETC USING OPTICAL RADIATIONS NESO,92.01,76.25,84.17,87.94,1.0767,0.9117,1.0587,1.1602,4.49
Colorado,13,20220,"MEAT, BOVINE CUTS WITH BONE IN, FROZEN",92.4,114.9,83.36,86.55,1.0814,1.3738,1.0485,1.1418,3.83
Colorado,14,420299,"CONTAINER BAGS, CASES ETC NESOI",64.34,73.85,79.64,85.68,0.7529,0.8829,1.0017,1.1303,7.59
Colorado,15,370210,"X-RAY FILM IN ROLLS, SENS, UNEX, NO PAPER ETC",219.01,173.38,126.83,79.7,2.563,2.073,1.5953,1.0515,-37.16
Colorado,16,902680,"INST MEASURE/CHECKING VARIABLE OF LIQ/GASES,",44.25,31.23,42.66,77.68,0.5179,0.3734,0.5366,1.0248,82.09
Colorado,17,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,69.52,75.02,68.01,76.82,0.8135,0.8969,0.8555,1.0134,12.95
Colorado,18,220290,"NONALCOHOLIC BEVERAGES, NESOI",21.26,48.19,76.35,72.7,0.2488,0.5762,0.9603,0.9591,-4.77
Colorado,19,681389,"OTH FRICTION MATERL,  OTH MINRLS, CELLULS,NES",52.49,63.96,82.53,71.71,0.6142,0.7648,1.0381,0.946,-13.11
Colorado,20,761290,"CASKS ETC, NOT OVER 300 LITER CAP NESOI, ALUM",15.69,11.39,59.6,69.79,0.1836,0.1362,0.7496,0.9207,17.1
Colorado,21,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,111.88,55.35,39.16,60.49,1.3093,0.6617,0.4925,0.798,54.49
Colorado,22,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,45.47,39.99,63.33,59.92,0.5322,0.4781,0.7966,0.7904,-5.39
Colorado,23,830990,"STOPPERS, CAPS, LIDS, SEALS ETC NES, PRTS, BS",2.46,11.22,24.02,59.55,0.0288,0.1341,0.3022,0.7855,147.86
Colorado,24,844399,"PTS & ACC OF PRINTERS, COPIERS AND FAX MACH,",28.81,29.25,31.59,58.87,0.3371,0.3497,0.3974,0.7766,86.33
Colorado,25,261390,MOLYBDENUM ORES AND CONCENTRATES NOT ROASTED,157.63,163.58,120.02,57.92,1.8447,1.9558,1.5097,0.7641,-51.74
Connecticut,0,0,World,16426.68,15962.84,15242.37,14394.22,1.0406,0.9842,1.0141,0.992,-5.56
Connecticut,0,25,Top 25,8809.63,8477.8,8390.44,7944.72,53.63,53.1096,55.0468,55.1938,-5.31
Connecticut,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",7072.55,6569.34,6503.62,5867.67,43.0552,41.154,42.668,40.764,-9.78
Connecticut,2,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",261.31,269.83,279.43,297.65,1.5907,1.6904,1.8333,2.0678,6.52
Connecticut,3,283620,DISODIUM CARBONATE,130.36,125.81,124.6,141.95,0.7936,0.7882,0.8175,0.9862,13.92
Connecticut,4,841191,TURBOJET AND TURBOPROLLER PARTS,119.44,126.88,115.13,131.05,0.7271,0.7948,0.7554,0.9104,13.82
Connecticut,5,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHO,109.3,81.72,20.07,125.08,0.6654,0.5119,0.1316,0.869,523.38
Connecticut,6,902780,PHY CHEM INS/APPR;MEAS VSCSTY & HEAT NESOI,98.01,85.36,111.9,122.09,0.5967,0.5348,0.7341,0.8482,9.11
Connecticut,7,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,77.83,98.28,99.98,109.61,0.4738,0.6157,0.6559,0.7615,9.64
Connecticut,8,901320,"LASERS, OTHER THAN LASER DIODES",81.05,90.47,105.4,88.28,0.4934,0.5667,0.6915,0.6133,-16.24
Connecticut,9,902214,"APPTS BASE ON X-RAY, MEDICAL,SURGICAL,VETNRY,",123.36,89.84,77.28,84.07,0.751,0.5628,0.507,0.5841,8.79
Connecticut,10,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,89.54,71.32,92.49,81.95,0.5451,0.4468,0.6068,0.5693,-11.39
Connecticut,11,841199,GAS TURBINE PARTS NESOI,78.57,117.13,64.36,79.27,0.4783,0.7338,0.4222,0.5507,23.17
Connecticut,12,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",66.92,71.22,79.71,70.04,0.4074,0.4462,0.523,0.4866,-12.14
Connecticut,13,850163,AC GENERATORS (ALTERNATOR) > 375 KVA BUT =< 7,1.62,7.81,33.74,67.75,0.0099,0.0489,0.2214,0.4707,100.79
Connecticut,14,854449,INSULATED ELECTRIC CONDUCTORS =< 80 V NESOI,85.17,91.29,66.29,67.57,0.5185,0.5719,0.4349,0.4694,1.93
